,Unnamed: 0,Track Name,Album Name,Track ID,Popularity,Tempo (BPM),Duration (s),Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Release Date
0,3,Isoprophlex - 2022 Remaster,Digeridoo (Expanded Edition),1U3W1jTqreI3YL84sA1eCx,30,135.609,383.964,0.646,0.914,1,-9.003,0,0.073,0.234,0.768,0.039,0.339,2024-05-31
1,5,"Digeridoo - Cr7E Version, Live In Cornwall",Digeridoo (Expanded Edition),3nMW5kxkOfoFUjj8VAmt24,26,142.803,386.317,0.525,0.986,7,-8.186,1,0.0509,0.555,0.9,0.175,0.37,2024-05-31
2,7,Phloam - Cr7E Version,Digeridoo (Expanded Edition),1ulYnCyBJUR25UbBoAmhgM,24,132.169,349.691,0.536,0.979,6,-8.182,1,0.131,0.00102,0.477,0.127,0.191,2024-05-31
3,9,Flap Head - Cr7E Version,Digeridoo (Expanded Edition),1KUjwNaO5logIbpSnDe80h,24,121.014,474.547,0.675,0.994,6,-5.84,1,0.0559,0.174,0.937,0.333,0.552,2024-05-31
4,10,minipops 67 [120.2][source field mix],Syro,00xFfMsOn9TbRe3sZcdABm,42,120.194,287.587,0.716,0.83,4,-7.661,0,0.0394,0.284,0.887,0.067,0.126,2014-09-22
5,11,XMAS_EVET10 [120][thanaton3 mix],Syro,3QwQ9oyEWD1Ufx7WfiJ4bn,39,119.939,631.24,0.737,0.836,0,-9.045,1,0.0594,0.741,0.928,0.0848,0.626,2014-09-22
6,12,produk 29 [101],Syro,2oe8134WXw7Pw0ixstdOu8,40,101.005,303.92,0.815,0.564,1,-8.358,0,0.0656,0.0249,0.807,0.0669,0.314,2014-09-22
7,13,4 bit 9d api+e+6 [126.26],Syro,3FCC4tcQTQSzfiWz1VFw1v,36,126.223,268.813,0.765,0.784,10,-8.278,0,0.0649,0.549,0.924,0.0815,0.655,2014-09-22
8,14,180db_ [130],Syro,5oKbtirX6EbMMOgD2fMJ6E,55,130.064,191.467,0.828,0.61,1,-7.305,1,0.0648,0.00104,0.894,0.0792,0.566,2014-09-22
9,15,CIRCLONT6A [141.98][syrobonkus mix],Syro,5hJO5kBnttuU6N5vVavVnf,36,141.96,360.2,0.725,0.869,5,-6.506,0,0.0997,0.339,0.898,0.121,0.675,2014-09-22
10,16,fz pseudotimestretch+e+3 [138.85],Syro,1xUwLbfbNoulgxRHeOAI04,34,138.89,58.587,0.564,0.183,7,-15.981,0,0.0563,0.35,0.534,0.132,0.39,2014-09-22
11,17,CIRCLONT14 [152.97][shrymoming mix],Syro,64pvDqTojvASDXPkPRHSIN,34,152.969,441.307,0.671,0.978,7,-7.304,1,0.233,0.279,0.928,0.102,0.178,2014-09-22
12,18,syro u473t8+e [141.98][piezoluminescence mix],Syro,4yFo0dWnAt5TTJ9IX0Z0CG,34,141.981,392.96,0.746,0.761,8,-9.069,1,0.0491,0.218,0.918,0.115,0.622,2014-09-22
13,19,PAPAT4 [155][pineal mix],Syro,6843IBipkLYYYyPpZfAldz,34,155.019,258.973,0.668,0.914,10,-6.606,0,0.0439,0.393,0.917,0.104,0.663,2014-09-22
14,20,s950tx16wasr10 [163.97][earth portal mix],Syro,15ZaYGb2LMTuvVCPD3R7fD,36,163.99,361.973,0.686,0.92,5,-5.977,0,0.116,0.172,0.871,0.062,0.743,2014-09-22
15,21,aisatsana [102],Syro,5ljMlD10En5rRGZU0cs2Np,58,101.39,321.88,0.26,0.01,4,-32.894,0,0.0359,0.98,0.843,0.131,0.0349,2014-09-22
16,22,Jynweythek,Drukqs,3I0rWmF86CwQpajoZjkXtG,47,119.986,143.88,0.72,0.246,3,-19.856,0,0.0718,0.863,0.888,0.1,0.119,2001-10-22
17,23,Vordhosbn,Drukqs,0AjQvTAlYcWQ6JpJcUdsKw,44,170.071,291.387,0.662,0.96,11,-6.619,0,0.136,0.0479,0.865,0.161,0.605,2001-10-22
18,24,Kladfvgbung Mischk,Drukqs,3Wmw7DqZfUQw954U0WmxEm,37,129.984,126.653,0.816,0.544,7,-17.126,0,0.105,0.551,0.741,0.108,0.162,2001-10-22
19,25,Omgyjya-Switch7,Drukqs,6qjGx36gz8SmoS0wJYlTYD,37,95.052,292.48,0.584,0.933,1,-5.912,1,0.0957,0.0109,0.0933,0.0551,0.41,2001-10-22
20,26,Strotha Tynhe,Drukqs,6qDxvVSEFKArt5sKxEYClN,38,65.5,132.16,0.384,0.0025,1,-25.018,1,0.061,0.99,0.894,0.0951,0.0373,2001-10-22
21,27,Gwely Mernans,Drukqs,4W5kilrn9FNjNCQPIBPscO,36,159.272,308.107,0.289,0.129,2,-28.837,1,0.362,0.892,0.938,0.0903,0.0418,2001-10-22
22,28,Bbydhyonchord,Drukqs,0lLCH4mtQQYp6ASyJqhzgN,43,122.973,153.32,0.804,0.447,10,-9.769,0,0.0938,0.666,0.96,0.143,0.883,2001-10-22
23,29,Cock/ver10,Drukqs,3kYvQJmhbzXw7GhaB4xjs9,41,170.156,318.333,0.542,0.94,1,-7.9,1,0.121,0.0054,0.804,0.503,0.289,2001-10-22
24,30,Avril 14th,Drukqs,1uaGSDFsLdReQgg8p7Obwh,64,157.811,125.52,0.558,0.0259,8,-30.016,1,0.0458,0.996,0.871,0.0969,0.37,2001-10-22
25,31,Mt Saint Michel + Saint Michaels Mount,Drukqs,5A6UIgePfszc5796wIfzFQ,38,100.099,490.413,0.684,0.943,10,-9.185,0,0.0985,0.00299,0.878,0.0819,0.182,2001-10-22
26,32,Gwarek2,Drukqs,6y4LPAHt2K779HXh2CejH8,32,174.404,406.853,0.288,0.235,1,-24.445,1,0.179,0.0704,0.512,0.335,0.0379,2001-10-22
27,33,Orban Eq Trx 4,Drukqs,6ZYVdXc2VrvhCvlJjc92R2,32,90.011,95.013,0.776,0.275,1,-10.43,1,0.0584,6e-06,0.795,0.103,0.269,2001-10-22
28,35,Hy A Scullyas Lyf Adhagrow,Drukqs,6lL3ETYPK6aFceYwpYyzOr,34,130.01,134.707,0.753,0.476,9,-20.175,0,0.052,0.91,0.831,0.0552,0.663,2001-10-22
29,36,Kesson Dalek,Drukqs,3CTvoMFVyZ9BtHTohGqC8O,35,170.024,81.107,0.551,0.248,11,-18.121,0,0.0508,0.995,0.77,0.135,0.553,2001-10-22
30,37,54 Cymru Beats,Drukqs,22OQsf5QlgbWQApBdqm5Qk,35,168.012,366.907,0.632,0.967,1,-6.048,1,0.102,0.0164,0.694,0.334,0.39,2001-10-22
31,38,Btoum-Roumada,Drukqs,1xC6L8m2yGCC5r15oiIXpT,36,75.385,118.427,0.164,0.193,5,-16.325,0,0.0327,0.958,0.000104,0.152,0.0455,2001-10-22
32,39,Lornaderek,Drukqs,5kaxW5pnSdnTvxD2SqPUuy,37,72.639,31.093,0.758,0.144,9,-19.894,1,0.913,0.989,0.0,0.461,0.72,2001-10-22
33,40,QKThr,Drukqs,4LIM4qmpHABufePRrLWbiM,71,79.042,87.467,0.451,0.0223,1,-26.117,1,0.0461,0.993,0.768,0.13,0.0573,2001-10-22
34,41,Meltphace 6,Drukqs,5Owuvx7f7Hei0wEd3TXcJL,33,154.143,384.107,0.582,0.929,6,-9.932,0,0.059,0.136,0.851,0.34,0.271,2001-10-22
35,42,Bit 4,Drukqs,3lPthygzOB6lxZ5RL5Fsbx,5,65.341,25.333,0.181,0.0232,11,-26.56,1,0.0342,0.972,0.93,0.14,0.0,2001-10-22
36,43,Prep Gwarek 36,Drukqs,3QnL7kYXrD39GvbotcVMrG,29,129.932,79.333,0.71,0.284,2,-19.482,1,0.066,0.763,0.789,0.0959,0.0334,2001-10-22
37,44,Father,Drukqs,3kAfypaag5irE9zorrYQCe,30,63.546,57.12,0.698,0.0321,6,-20.07,1,0.0623,0.99,0.951,0.0851,0.203,2001-10-22
38,45,Taking Control,Drukqs,3nrlcMr7VgPwO23vOcNAfP,31,149.995,434.013,0.639,0.747,1,-12.647,1,0.055,0.0394,0.755,0.0652,0.632,2001-10-22
39,46,Petiatil Cx Htdui,Drukqs,75qP1ztAEjjJwvU967su8u,43,73.402,131.347,0.421,0.00682,0,-29.681,0,0.0391,0.996,0.956,0.154,0.139,2001-10-22
40,47,Ruglen Holon,Drukqs,60MoAYOv0gUSDMqRFYU7Ct,32,119.882,109.28,0.775,0.189,0,-22.208,1,0.0996,0.898,0.892,0.0796,0.435,2001-10-22
41,48,Afx237 v.7,Drukqs,55iOSXakrTUX877F5sF5xR,32,168.1,263.08,0.635,0.975,10,-7.318,0,0.204,0.0187,0.632,0.0726,0.211,2001-10-22
